bebida,custobebida
"ABACAXI C TONICA",7.22
"ABSOLUT DS",3.75
"AGUA DE COCO COPO",2.80
"AGUA DE COCO JARRA",8.00
"AGUA MINERAL COM GAS",2.70
"AGUA MINERAL SEM GAS",2.70
"AGUA TONICA",2.99
"AMARULA DS",6.62
"APEROL SPRIT",8.34
"BAILEYS DS",7.93
"BLACK WHITE DS",2.50
BRAMBLE,4.05
"BULLDOG DS",10.00
"CACHACA VOLUPIA ENVELHECIDA DO",5.77
"CAFÉ EXPRESSO",1.90
"CAIPIFRUTA SEM ALCOOL",2.72
CAIPIRINHA,5.05
"CAMPARI DS",2.49
CAPUCCINO,2.00
"CEREMONY RUBY CAL 100ML DS",13.05
"CERVEJA HEINEKEN 330ML",5.93
"CERVEJA HEINEKEN SEM ALCOOL",5.93
"CERVEJA STELLA ARTOIS 275ML",4.10
"CERVEJA STELLA ARTOIS LONGNECK",4.93
"CHA VERDE BULE",0.00
"CHIVAS DS",3.25
CIROC,191.37
"COCA COLA",2.50
"COCA COLA ZERO",2.50
"COINTREAU DS",1.00
"DOWS 10 ANOS CALICE 100ML DS",0.00
"DRY MARTINI",5.21
EMBALAGEM,0.88
"ESP 1913 BRUT",59.00
"ESP CODORNIU CLAS CA BRUT ROSA",68.50
"ESP CODORNIU CLASSICO CAVA BRUT",68.50
"ESP FREIXENET ICE ROS",66.06
"FRANGELICO DS",11.39
"G E T HIBISCO",4.65
"GIN PITAYA",4.93
"GIN TONICA",4.34
"GRAPE GIN",5.26
"GREY GOOSE",191.55
"GREY GOOSE DS",9.58
GUARANA,2.04
"GUARANA ZERO",2.09
"H2O LIMONETO",3.08
"IPPON DRINK",9.57
"IPPON GIN BLUSH LIMAO SICILIAN",6.08
"IPPON GIN BLUSH MACA VERDE",7.60
"IPPON SHOT",0.71
"JACK DANIELS TENNESSEE WHISKY",5.59
"JAMESON IRISH WHISKY DS",4.33
"JOHNNIE WALKER BLACK LABEL",188.47
"JOHNNIE WALKER BLACK LABEL DS",9.42
"JOHNNIE WALKER DOUBLE BLACK DS",10.44
"JOHNNIE WALKER DOUBLE BLACK",208.70
"JOHNNIE WALKER GOLD RESER",358.31
"JOHNNIE WALKER GOLD RESER DS",17.92
"JOHNNIE WALKER RED LABEL DS",4.92
"LICOR 43 DS",10.16
"LIMONADA SUICA COPO 300ML",6.45
"LIMONADA SUICA JARRA",12.89
"LIMONCELLO DS",1.00
"MARACUJA TONICA",5.22
MARGARITA,5.01
"MARTINI BIANCO",2.13
MELANCITA,10.63
MOJITO,4.33
"MOSCOW MULE",2.22
NEGRONI,5.89
"NIGHT BLUE",4.17
"OLD PARR DS",6.94
"OLD PARR GF",159.99
"PEACHTREE DS",9.67
"PINA COLADA",4.23
"RED BULL",6.89
"RON BACARDI CARTA BRANCA DS",1.88
"RON HAVANA 3 YEARS DS",4.72
"SAKE IMPORTADO NO CALICE",11.38
"SAKE NACIONAL",39.45
"SAKE NACIONAL NO MASSAU",5.22
"SAMBUCA DS",10.78
"SAQUE NACIONAL E FRUTA DA EST",2.96
"SAQUE NACIONAL E LIMAO",3.08
"SMIRNOFF DS",2.00
"SODA ITALIANA",3.18
"SOL FA SOUL BRUT ROSE",64.50
"SUCO COPO DE ABACAXI",1.02
"SUCO COPO DE KIWI",5.46
"SUCO COPO DE LARANJA",2.03
"SUCO COPO DE LIMAO",1.42
"SUCO COPO DE MORANGO",6.94
"SUCO COPO DE UVA",1.72
"SUCO JARRA ABACAXI",2.88
"SUCO JARRA KIWI",20.22
"SUCO JARRA LARANJA",6.59
"SUCO JARRA LIMAO",4.87
"SUCO JARRA MORANGO",6.39
"SUCO JARRA UVA",5.35
TANQUERAY,153.43
"TANQUERAY DS",7.67
"TAXA ROLHA",0.00
"TEQUILA DS",4.55
"TROPICAL GIN",3.20
"VB ALTO MADERO RESERVA 375ML",40.05
"VB ANDICA GEWURZTRAMINER",67.60
"VB CALLIA TORRONTES",49.23
"VB CARTUXA",161.39
"VB CHABLIS",348.00
"VB CHIANT RUFFINO 375ML",67.63
"VB EA BRANCO ALENTEJO",63.06
"VB FESTIVO TORRONTES",95.00
"VB FREIXENET PINOT GRIGIO DOC",64.61
"VB MALACARA CHARDONNAY",81.00
"VB MONTE VELHO BRANCO ALENTEJO",57.91
"VB SUZANA BALBO TRA CHARDONN",101.81
"VB TARAP RES CHARDONNAY",0.00
"VB VENTISQUEIRO CLASSICO CHARD",45.11
"VB VENTISQUEIRO RES SAUV BLANC",60.39
"VODKA ABSOLUT E FRUTA DA ESTACAO",4.60
"VODKA ABSOLUT E LIMAO",4.63
"VODKA CIROC E FRUTA DA ESTACAO",9.99
"VODKA GREY GOOSE E FRUTA DA ESTACAO",9.26
"VODKA SMIRNOFF E FRUTA DA ESTACAO",2.34
"VODKA SMIRNOFF E LIMAO",2.45
"VR CASAS DEL MAIPO ROSE",54.00
"VR FESTIVO ROSE ",78.44
"VR GIACONDI ROSE",39.80
"VR LOVE PINK 375ML",59.43
"VT ALTA VISTA VIVE CAB SAUV",64.37
"VT ANDELUENA RAICES MALBEC 750ML",65.12
"VT BARON PHILIPPE RESERVA MERL",38.76
"VT BRUNELLO DI MONTALCINO DOCG",695.00
"VT CARTUXA COLHEITA",250.83
"VT CASAS DEL MAIPO RESERVA CAB",79.00
"VT CASAS DEL MAIPO RESERVA CAR",68.04
"VT CASTILLO MONTEARAGON GRAN RSV",101.58
"VT CASTILLO MONTEARAGON BARRI",56.02
"VT CHATEAU HAUT GANTELAIS  750ML",99.99
